23:17:24 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:24 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:24 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:29 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:29 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:29 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:29 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:34 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:34 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:34 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:34 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:39 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:39 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:39 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:39 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:44 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:45 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:45 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:45 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:50 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:50 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:50 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:50 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:17:55 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:17:55 | low | 80.00 Гц | 1801.0x | SIGNAL
23:17:55 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:17:55 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:00 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:00 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:00 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:00 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:05 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:05 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:05 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:06 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:11 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:11 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:11 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:11 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:16 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:16 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:16 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:16 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:21 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:21 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:21 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:22 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:27 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:27 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:27 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:27 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:32 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:32 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:32 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:32 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:37 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:37 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:37 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:37 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:42 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:42 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:42 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:42 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:47 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:48 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:48 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:48 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:53 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:53 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:53 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:53 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:18:58 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:18:58 | low | 80.00 Гц | 1801.0x | SIGNAL
23:18:58 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:18:58 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:03 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:03 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:03 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:04 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:09 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:09 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:09 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:09 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:14 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:14 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:14 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:14 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:19 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:19 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:19 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:19 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:24 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:24 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:24 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:24 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:29 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:29 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:29 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:30 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:35 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:35 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:35 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:35 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:40 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:40 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:40 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:40 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:45 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:45 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:45 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:46 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:51 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:51 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:51 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:51 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:19:56 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:19:56 | low | 80.00 Гц | 1801.0x | SIGNAL
23:19:56 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:19:56 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:01 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:01 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:01 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:01 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:06 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:06 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:06 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:07 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:12 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:12 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:12 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:12 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:17 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:17 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:17 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:17 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:22 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:22 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:22 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:22 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:27 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:27 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:27 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:27 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:32 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:33 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:33 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:33 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:38 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:38 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:38 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:38 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:43 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:43 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:43 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:43 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:48 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:48 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:48 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:48 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:53 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:53 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:54 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:54 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:20:59 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:20:59 | low | 80.00 Гц | 1801.0x | SIGNAL
23:20:59 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:20:59 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:04 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:04 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:04 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:04 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:09 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:09 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:09 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:09 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:14 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:15 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:15 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:15 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:20 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:20 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:20 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:20 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:25 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:25 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:26 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:26 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:31 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:31 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:31 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:31 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:36 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:36 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:36 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:36 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:41 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:41 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:41 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:41 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:46 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:46 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:46 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:47 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:52 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:52 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:52 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:52 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:21:57 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:21:57 | low | 80.00 Гц | 1801.0x | SIGNAL
23:21:57 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:21:57 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:22:02 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:22:02 | low | 80.00 Гц | 1801.0x | SIGNAL
23:22:02 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:22:02 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:22:07 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:22:07 | low | 80.00 Гц | 1801.0x | SIGNAL
23:22:07 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:22:07 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:22:12 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:22:13 | low | 80.00 Гц | 1801.0x | SIGNAL
23:22:13 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:22:13 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:22:18 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:22:18 | low | 80.00 Гц | 1801.0x | SIGNAL
23:22:18 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:22:18 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:22:23 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:22:23 | low | 80.00 Гц | 1801.0x | SIGNAL
23:22:23 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:22:23 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:22:28 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:22:28 | low | 80.00 Гц | 1801.0x | SIGNAL
23:22:28 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:22:29 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:22:34 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:22:34 | low | 80.00 Гц | 1801.0x | SIGNAL
23:22:34 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:22:34 | high | 1040.00 Гц | 3916.7x | SIGNAL
23:22:39 | infralow | 8.00 Гц | 496.0x | SIGNAL
23:22:39 | low | 80.00 Гц | 1801.0x | SIGNAL
23:22:39 | medium | 120.00 Гц | 5810.1x | SIGNAL
23:22:39 | high | 1040.00 Гц | 3916.7x | SIGNAL

23:27:01 | infralow
  8.00 Гц | 496.0x

23:27:01 | low
  80.00 Гц | 1801.0x

23:27:01 | medium
  120.00 Гц | 5810.1x
  280.00 Гц | 1076.2x
  320.00 Гц | 826.6x
  480.00 Гц | 373.6x
  520.00 Гц | 320.1x
  680.00 Гц | 192.0x

23:27:01 | high
  1040.00 Гц | 3916.7x
  1360.00 Гц | 2349.5x
  1440.00 Гц | 2111.4x
  1760.00 Гц | 1462.7x
  1840.00 Гц | 1351.3x
  2160.00 Гц | 1024.0x
  2240.00 Гц | 963.6x
  2560.00 Гц | 777.6x
  2640.00 Гц | 741.7x
  2960.00 Гц | 627.9x

23:27:06 | infralow
  8.00 Гц | 496.0x

23:27:06 | low
  80.00 Гц | 1801.0x

23:27:06 | medium
  120.00 Гц | 5810.1x
  280.00 Гц | 1076.2x
  320.00 Гц | 826.6x
  480.00 Гц | 373.6x
  520.00 Гц | 320.1x
  680.00 Гц | 192.0x

23:27:06 | high
  1040.00 Гц | 3916.7x
  1360.00 Гц | 2349.5x
  1440.00 Гц | 2111.4x
  1760.00 Гц | 1462.7x
  1840.00 Гц | 1351.3x
  2160.00 Гц | 1024.0x
  2240.00 Гц | 963.6x
  2560.00 Гц | 777.6x
  2640.00 Гц | 741.7x
  2960.00 Гц | 627.9x

23:27:11 | infralow
  8.00 Гц | 496.0x

23:27:11 | low
  80.00 Гц | 1801.0x

23:27:12 | medium
  120.00 Гц | 5810.1x
  280.00 Гц | 1076.2x
  320.00 Гц | 826.6x
  480.00 Гц | 373.6x
  520.00 Гц | 320.1x
  680.00 Гц | 192.0x

23:27:12 | high
  1040.00 Гц | 3916.7x
  1360.00 Гц | 2349.5x
  1440.00 Гц | 2111.4x
  1760.00 Гц | 1462.7x
  1840.00 Гц | 1351.3x
  2160.00 Гц | 1024.0x
  2240.00 Гц | 963.6x
  2560.00 Гц | 777.6x
  2640.00 Гц | 741.7x
  2960.00 Гц | 627.9x

23:27:17 | infralow
  8.00 Гц | 496.0x

23:27:17 | low
  80.00 Гц | 1801.0x

23:27:17 | medium
  120.00 Гц | 5810.1x
  280.00 Гц | 1076.2x
  320.00 Гц | 826.6x
  480.00 Гц | 373.6x
  520.00 Гц | 320.1x
  680.00 Гц | 192.0x

23:27:17 | high
  1040.00 Гц | 3916.7x
  1360.00 Гц | 2349.5x
  1440.00 Гц | 2111.4x
  1760.00 Гц | 1462.7x
  1840.00 Гц | 1351.3x
  2160.00 Гц | 1024.0x
  2240.00 Гц | 963.6x
  2560.00 Гц | 777.6x
  2640.00 Гц | 741.7x
  2960.00 Гц | 627.9x

23:27:22 | infralow
  8.00 Гц | 496.0x

23:27:22 | low
  80.00 Гц | 1801.0x

23:27:22 | medium
  120.00 Гц | 5810.1x
  280.00 Гц | 1076.2x
  320.00 Гц | 826.6x
  480.00 Гц | 373.6x
  520.00 Гц | 320.1x
  680.00 Гц | 192.0x

23:27:22 | high
  1040.00 Гц | 3916.7x
