timestamp,cycle,coherence,total_nodes,total_furcations
2026-04-05T04:22:58.455367,100,0.9938,10,4
2026-04-05T04:23:04.063574,200,0.9936,24,19
2026-04-05T04:23:09.748491,300,0.9929,31,29
2026-04-05T04:23:15.201803,400,0.9928,41,40
2026-04-05T04:23:21.056129,500,0.9922,56,57
2026-04-05T04:23:26.747152,600,0.9927,66,63
2026-04-05T04:23:33.218498,700,0.9922,77,76
2026-04-05T04:23:39.488008,800,0.9931,92,88
2026-04-05T04:23:45.569646,900,0.9938,103,96
2026-04-05T04:23:51.820814,1000,0.9937,122,117
2026-04-05T04:23:57.617258,1100,0.9939,132,126
2026-04-05T04:24:03.553543,1200,0.9960,150,132
2026-04-05T04:24:09.374974,1300,0.9968,163,143
2026-04-05T04:24:15.127141,1400,0.9974,175,150
2026-04-05T04:24:21.623526,1500,0.9980,190,158
2026-04-05T04:24:27.653050,1600,0.9980,203,166
2026-04-05T04:24:34.085289,1700,0.9964,219,191
2026-04-05T04:24:39.547899,1800,0.9972,229,197
2026-04-05T04:24:45.472832,1900,0.9968,245,211
2026-04-05T04:24:51.871106,2000,0.9977,265,224
2026-04-05T04:24:57.868501,2100,0.9978,282,240
2026-04-05T04:25:03.477898,2200,0.9980,294,248
2026-04-05T04:25:09.029439,2300,0.9974,304,256
2026-04-05T04:25:14.604156,2400,0.9943,308,273
2026-04-05T04:25:20.161864,2500,0.9942,321,286
2026-04-05T04:25:25.895640,2600,0.9958,335,290
2026-04-05T04:25:31.845622,2700,0.9973,356,304
2026-04-05T04:25:37.511226,2800,0.9965,365,316
2026-04-05T04:25:43.101179,2900,0.9954,373,331
2026-04-05T04:25:48.894798,3000,0.9957,382,338
2026-04-05T04:25:54.582915,3100,0.9952,393,351
2026-04-05T04:26:00.345328,3200,0.9952,405,368
2026-04-05T04:26:06.206005,3300,0.9943,417,385
2026-04-05T04:26:11.790621,3400,0.9948,433,401
2026-04-05T04:26:17.574405,3500,0.9953,446,412
2026-04-05T04:26:23.518533,3600,0.9957,463,427
2026-04-05T04:26:29.118868,3700,0.9975,478,433
2026-04-05T04:26:34.828913,3800,0.9976,489,439
2026-04-05T04:26:40.433241,3900,0.9967,499,448
2026-04-05T04:26:46.303153,4000,0.9974,517,455
2026-04-05T04:26:52.077347,4100,0.9960,525,471
2026-04-05T04:26:57.909192,4200,0.9962,535,483
2026-04-05T04:27:03.386658,4300,0.9951,540,492
2026-04-05T04:27:09.228571,4400,0.9948,555,515
2026-04-05T04:27:15.101884,4500,0.9970,572,522
2026-04-05T04:27:20.863039,4600,0.9977,585,530
2026-04-05T04:27:26.594810,4700,0.9975,594,539
2026-04-05T04:27:32.270213,4800,0.9972,605,547
2026-04-05T04:27:37.984997,4900,0.9971,615,557
2026-04-05T04:27:43.523937,5000,0.9960,623,569
2026-04-05T04:27:49.113328,5100,0.9950,633,584
2026-04-05T04:27:54.890155,5200,0.9952,646,594
2026-04-05T04:28:00.514867,5300,0.9952,658,604
2026-04-05T04:28:06.047581,5400,0.9956,669,615
2026-04-05T04:28:11.909719,5500,0.9966,683,626
2026-04-05T04:28:17.999443,5600,0.9975,698,636
2026-04-05T04:28:23.957376,5700,0.9957,710,655
2026-04-05T04:28:29.493012,5800,0.9955,718,668
2026-04-05T04:28:35.208761,5900,0.9975,731,670
2026-04-05T04:28:41.170708,6000,0.9977,749,685
2026-04-05T04:28:47.137506,6100,0.9964,759,701
2026-04-05T04:28:53.324708,6200,0.9975,779,715
2026-04-05T04:28:59.055049,6300,0.9979,792,727
2026-04-05T04:29:04.927244,6400,0.9977,808,741
2026-04-05T04:29:10.376905,6500,0.9975,818,752
2026-04-05T04:29:16.317637,6600,0.9980,834,763
2026-04-05T04:29:22.276892,6700,0.9972,846,776
2026-04-05T04:29:27.956578,6800,0.9959,856,793
2026-04-05T04:29:33.575887,6900,0.9966,870,801
2026-04-05T04:29:39.077617,7000,0.9973,881,808
2026-04-05T04:29:45.000692,7100,0.9977,895,821
2026-04-05T04:29:50.532622,7200,0.9972,905,831
2026-04-05T04:29:56.246129,7300,0.9955,916,847
2026-04-05T04:30:02.244320,7400,0.9948,929,859
2026-04-05T04:30:08.025398,7500,0.9939,938,871
2026-04-05T04:30:13.763165,7600,0.9947,948,876
2026-04-05T04:30:19.454802,7700,0.9940,955,886
2026-04-05T04:30:25.183921,7800,0.9924,965,905
2026-04-05T04:30:30.846813,7900,0.9935,978,910
2026-04-05T04:30:36.452808,8000,0.9913,985,928
2026-04-05T04:30:42.241525,8100,0.9911,999,943
2026-04-05T04:30:47.954260,8200,0.9919,1015,955
2026-04-05T04:30:53.785630,8300,0.9926,1026,962
2026-04-05T04:30:59.682187,8400,0.9938,1041,969
2026-04-05T04:31:05.450216,8500,0.9945,1055,980
2026-04-05T04:31:11.450195,8600,0.9957,1073,990
2026-04-05T04:31:17.138192,8700,0.9951,1082,1003
2026-04-05T04:31:23.170194,8800,0.9961,1102,1016
2026-04-05T04:31:29.005193,8900,0.9953,1113,1031
2026-04-05T04:31:34.712191,9000,0.9953,1125,1039
2026-04-05T04:31:40.394219,9100,0.9963,1139,1047
2026-04-05T04:31:45.847220,9200,0.9962,1146,1053
2026-04-05T04:31:51.662198,9300,0.9959,1158,1069
2026-04-05T04:31:57.361221,9400,0.9965,1173,1083
2026-04-05T04:32:03.325222,9500,0.9954,1187,1099
2026-04-05T04:32:09.179206,9600,0.9948,1193,1106
2026-04-05T04:32:15.087198,9700,0.9917,1200,1136
2026-04-05T04:32:21.032200,9800,0.9906,1208,1152
2026-04-05T04:32:27.102209,9900,0.9904,1216,1158
2026-04-05T04:32:32.664200,10000,0.9890,1221,1167
2026-04-05T04:32:38.486200,10100,0.9888,1229,1177
2026-04-05T04:32:44.616197,10200,0.9901,1249,1191
2026-04-05T04:32:50.485199,10300,0.9910,1264,1202
2026-04-05T04:32:56.612207,10400,0.9905,1278,1220
2026-04-05T04:33:02.934203,10500,0.9897,1295,1244
2026-04-05T04:33:08.774199,10600,0.9892,1309,1260
2026-04-05T04:33:14.485207,10700,0.9886,1321,1272
2026-04-05T04:33:20.110200,10800,0.9889,1333,1284
2026-04-05T04:33:25.668230,10900,0.9886,1342,1295
2026-04-05T04:33:31.293206,11000,0.9892,1354,1304
2026-04-05T04:33:36.870212,11100,0.9903,1364,1308
2026-04-05T04:33:42.824232,11200,0.9914,1383,1325
2026-04-05T04:33:48.628232,11300,0.9927,1397,1334
2026-04-05T04:33:54.557213,11400,0.9919,1408,1349
2026-04-05T04:34:00.374205,11500,0.9908,1422,1368
2026-04-05T04:34:06.082234,11600,0.9914,1434,1381
2026-04-05T04:34:11.690211,11700,0.9925,1447,1386
2026-04-05T04:34:17.314207,11800,0.9934,1459,1394
2026-04-05T04:34:23.228216,11900,0.9929,1473,1414
2026-04-05T04:34:29.392236,12000,0.9921,1487,1433
2026-04-05T04:34:35.497237,12100,0.9922,1501,1447
2026-04-05T04:34:41.322216,12200,0.9919,1513,1458
2026-04-05T04:34:46.991238,12300,0.9911,1521,1471
