timestamp,cycle,furcations_count,scales_involved,complexities_involved,total_furcations,coherence
2026-04-05T04:13:35.600719,31,2,10.0;3.0,1;1,2,0.9935
2026-04-05T04:13:36.078993,40,2,0.3;100.0,3;1,4,0.9934
2026-04-05T04:13:36.546993,48,1,3.0,3,5,0.9935
2026-04-05T04:13:37.651765,68,1,3.0,3,6,0.9938
2026-04-05T04:13:38.771785,89,1,0.1,1,7,0.9937
2026-04-05T04:13:38.859761,90,1,30.0,2,8,0.9934
2026-04-05T04:13:39.588756,103,1,1.0,2,9,0.9935
2026-04-05T04:13:39.705570,105,2,0.3;30.0,1;4,11,0.9932
2026-04-05T04:13:40.013192,111,2,1.0;1.0,4;1,13,0.9929
2026-04-05T04:13:40.416191,118,1,1.0,3,14,0.9930
2026-04-05T04:13:41.007681,129,1,10.0,1,15,0.9929
2026-04-05T04:13:43.333509,173,3,0.3;1.0;1.0,2;2;4,18,0.9936
2026-04-05T04:13:44.547812,195,1,0.3,4,19,0.9939
2026-04-05T04:13:44.836403,200,1,30.0,2,20,0.9936
2026-04-05T04:13:45.254403,208,2,0.1;3.0,3;1,22,0.9933
2026-04-05T04:13:45.872572,219,1,1.0,2,23,0.9934
2026-04-05T04:13:46.016576,221,1,0.1,2,24,0.9933
2026-04-05T04:13:48.401493,263,1,0.3,1,25,0.9940
2026-04-05T04:13:49.121161,276,3,30.0;10.0;3.0,1;1;2,28,0.9939
2026-04-05T04:13:49.519169,282,2,0.1;100.0,2;3,30,0.9940
2026-04-05T04:13:49.586164,283,1,10.0,2,31,0.9937
2026-04-05T04:13:49.763856,286,1,3.0,3,32,0.9934
2026-04-05T04:13:49.871859,288,1,30.0,4,33,0.9931
2026-04-05T04:13:51.281379,313,2,100.0;1.0,2;2,35,0.9938
2026-04-05T04:13:52.953824,344,1,30.0,1,36,0.9939
2026-04-05T04:13:53.438819,352,1,0.3,4,37,0.9938
2026-04-05T04:13:54.311072,368,1,0.1,1,38,0.9937
2026-04-05T04:13:56.036635,398,1,10.0,1,39,0.9942
2026-04-05T04:13:56.128606,399,1,0.1,2,40,0.9939
2026-04-05T04:13:56.471616,405,2,1.0;1.0,1;2,42,0.9938
2026-04-05T04:13:58.268610,438,2,100.0;30.0,4;1,44,0.9939
2026-04-05T04:13:58.530607,443,1,0.3,2,45,0.9938
2026-04-05T04:13:58.821758,448,2,0.1;0.3,4;2,47,0.9937
2026-04-05T04:13:59.107757,453,1,30.0,3,48,0.9934
2026-04-05T04:13:59.274757,456,1,30.0,3,49,0.9931
2026-04-05T04:13:59.480758,460,1,10.0,2,50,0.9928
2026-04-05T04:14:00.401987,477,1,10.0,1,51,0.9927
2026-04-05T04:14:00.981250,487,1,10.0,3,52,0.9926
2026-04-05T04:14:02.629907,516,1,10.0,1,53,0.9935
2026-04-05T04:14:03.215085,527,2,0.1;0.3,1;3,55,0.9936
2026-04-05T04:14:05.572980,570,1,100.0,2,56,0.9949
2026-04-05T04:14:05.698573,572,1,30.0,4,57,0.9946
2026-04-05T04:14:06.305526,582,1,0.3,3,58,0.9949
2026-04-05T04:14:06.675126,589,2,3.0;100.0,1;2,60,0.9948
2026-04-05T04:14:07.155694,598,1,3.0,4,61,0.9949
2026-04-05T04:14:07.758963,609,3,1.0;1.0;3.0,2;1;2,64,0.9948
2026-04-05T04:14:07.809958,610,2,100.0;0.3,2;1,66,0.9945
2026-04-05T04:14:07.864954,611,1,30.0,1,67,0.9942
2026-04-05T04:14:08.750573,627,2,0.1;0.1,3;3,69,0.9945
2026-04-05T04:14:10.122765,649,1,10.0,3,70,0.9954
2026-04-05T04:14:10.640769,659,1,0.1,3,71,0.9951
2026-04-05T04:14:11.323115,671,1,30.0,3,72,0.9952
2026-04-05T04:14:11.374117,672,3,3.0;30.0;30.0,4;1;3,75,0.9949
2026-04-05T04:14:11.838063,680,1,3.0,1,76,0.9952
2026-04-05T04:14:12.722997,696,2,0.1;100.0,1;4,78,0.9955
2026-04-05T04:14:13.086134,703,1,0.3,4,79,0.9952
2026-04-05T04:14:14.939853,737,1,3.0,1,80,0.9963
2026-04-05T04:14:15.748541,752,1,0.3,1,81,0.9964
2026-04-05T04:14:15.803160,753,1,1.0,3,82,0.9961
2026-04-05T04:14:16.454162,765,2,1.0;30.0,3;2,84,0.9958
2026-04-05T04:14:16.673935,769,3,100.0;3.0;0.3,3;1;2,87,0.9957
2026-04-05T04:14:17.293632,781,2,100.0;1.0,2;1,89,0.9956
2026-04-05T04:14:17.856318,792,2,0.3;1.0,3;4,91,0.9953
2026-04-05T04:14:18.369321,802,1,30.0,4,92,0.9950
2026-04-05T04:14:18.638339,807,1,10.0,1,93,0.9947
2026-04-05T04:14:18.893682,812,1,30.0,1,94,0.9944
2026-04-05T04:14:19.164654,817,1,30.0,1,95,0.9941
2026-04-05T04:14:20.832831,848,1,10.0,3,96,0.9954
2026-04-05T04:14:21.099833,853,2,3.0;0.1,1;1,98,0.9951
2026-04-05T04:14:21.360830,858,1,100.0,3,99,0.9950
2026-04-05T04:14:21.482838,860,1,3.0,1,100,0.9947
2026-04-05T04:14:22.932478,886,1,0.1,1,101,0.9950
2026-04-05T04:14:24.451739,912,1,0.3,3,102,0.9957
2026-04-05T04:14:26.287837,944,1,3.0,2,103,0.9960
2026-04-05T04:14:27.709797,970,1,100.0,1,104,0.9963
2026-04-05T04:14:28.613628,985,1,0.3,3,105,0.9964
2026-04-05T04:14:29.478683,1000,2,0.3;1.0,3;1,107,0.9967
2026-04-05T04:14:30.312912,1016,2,0.1;10.0,1;2,109,0.9964
2026-04-05T04:14:32.023654,1045,1,30.0,2,110,0.9973
2026-04-05T04:14:32.689473,1057,2,100.0;1.0,1;2,112,0.9976
2026-04-05T04:14:33.228089,1067,1,10.0,4,113,0.9975
2026-04-05T04:14:34.529981,1091,1,30.0,1,114,0.9977
2026-04-05T04:14:35.688708,1111,1,10.0,2,115,0.9977
2026-04-05T04:14:36.185339,1120,2,30.0;30.0,3;1,117,0.9976
2026-04-05T04:14:36.434313,1124,3,30.0;10.0;1.0,3;2;1,120,0.9973
2026-04-05T04:14:36.489315,1125,1,100.0,4,121,0.9970
2026-04-05T04:14:37.357578,1141,3,100.0;1.0;0.1,1;1;2,124,0.9975
2026-04-05T04:14:37.956626,1151,2,10.0;0.3,3;3,126,0.9977
2026-04-05T04:14:39.275897,1172,1,10.0,4,127,0.9977
2026-04-05T04:14:39.456923,1175,2,10.0;100.0,2;3,129,0.9974
2026-04-05T04:14:39.980247,1185,1,0.1,2,130,0.9971
2026-04-05T04:14:41.288704,1207,1,100.0,4,131,0.9972
2026-04-05T04:14:42.067010,1221,2,0.3;0.1,3;1,133,0.9971
2026-04-05T04:14:42.794265,1233,1,3.0,3,134,0.9972
2026-04-05T04:14:43.609265,1247,1,1.0,4,135,0.9977
2026-04-05T04:14:43.879594,1251,1,30.0,2,136,0.9976
2026-04-05T04:14:44.057623,1254,1,0.3,1,137,0.9973
2026-04-05T04:14:44.176594,1256,3,100.0;1.0;30.0,2;2;1,140,0.9970
2026-04-05T04:14:45.889948,1288,2,100.0;30.0,2;3,142,0.9973
2026-04-05T04:14:46.279975,1294,1,0.3,2,143,0.9972
2026-04-05T04:14:47.201681,1311,1,0.3,3,144,0.9971
2026-04-05T04:14:48.360556,1332,1,100.0,3,145,0.9974
2026-04-05T04:14:48.492527,1334,2,100.0;0.3,3;2,147,0.9971
2026-04-05T04:14:49.084282,1345,2,0.1;1.0,1;2,149,0.9972
2026-04-05T04:14:49.202256,1347,1,3.0,3,150,0.9969
2026-04-05T04:14:49.280254,1348,1,0.3,1,151,0.9966
2026-04-05T04:14:50.775506,1373,2,30.0;10.0,1;1,153,0.9967
2026-04-05T04:14:51.718159,1390,1,100.0,4,154,0.9970
2026-04-05T04:14:51.828442,1392,1,10.0,2,155,0.9967
2026-04-05T04:14:52.800795,1410,1,100.0,2,156,0.9966
2026-04-05T04:14:53.267792,1418,2,0.3;100.0,1;2,158,0.9967
2026-04-05T04:14:53.863056,1429,1,0.1,4,159,0.9968
2026-04-05T04:14:55.021153,1449,1,10.0,2,160,0.9975
2026-04-05T04:14:55.501153,1457,1,3.0,1,161,0.9974
2026-04-05T04:14:55.552130,1458,1,0.3,3,162,0.9971
2026-04-05T04:14:56.373634,1473,1,3.0,2,163,0.9970
2026-04-05T04:14:56.863964,1482,1,30.0,2,164,0.9969
2026-04-05T04:14:58.012057,1504,1,30.0,2,165,0.9970
2026-04-05T04:14:58.882418,1520,1,1.0,3,166,0.9969
2026-04-05T04:14:59.249418,1527,2,1.0;1.0,1;2,168,0.9966
2026-04-05T04:15:00.360717,1548,1,10.0,1,169,0.9965
2026-04-05T04:15:01.005255,1558,1,1.0,2,170,0.9972
2026-04-05T04:15:01.231257,1562,1,100.0,4,171,0.9971
2026-04-05T04:15:01.917167,1573,2,0.3;1.0,3;2,173,0.9970
2026-04-05T04:15:02.020164,1575,1,0.3,2,174,0.9967
2026-04-05T04:15:03.382518,1600,2,100.0;0.3,3;2,176,0.9976
2026-04-05T04:15:03.705117,1606,1,0.1,1,177,0.9973
2026-04-05T04:15:04.373180,1617,1,10.0,2,178,0.9977
2026-04-05T04:15:04.450157,1618,2,10.0;30.0,3;3,180,0.9974
2026-04-05T04:15:07.327055,1665,1,0.3,1,181,0.9977
2026-04-05T04:15:07.562053,1668,1,0.1,4,182,0.9976
2026-04-05T04:15:09.038363,1692,1,100.0,1,183,0.9977
2026-04-05T04:15:10.036626,1707,2,3.0;30.0,1;1,185,0.9977
2026-04-05T04:15:10.424627,1713,2,100.0;1.0,3;3,187,0.9974
2026-04-05T04:15:10.694796,1717,1,3.0,2,188,0.9971
