timestamp,cycle,scale,modes_count,nodes_created,furcations_count,phase,frequency
2026-04-05T04:23:23.058955,534,1.0,102703,11,8,3.638,10.000
2026-04-05T04:23:23.058955,534,0.1,18002,7,7,5.818,10.000
2026-04-05T04:23:23.058955,534,0.3,16690,7,3,1.946,10.000
2026-04-05T04:23:23.058955,534,3.0,22284,9,12,5.348,3.333
2026-04-05T04:23:23.058955,534,10.0,86010,12,13,0.253,1.000
2026-04-05T04:23:23.058955,534,30.0,20088,6,7,0.897,0.333
2026-04-05T04:23:23.058955,534,100.0,16622,10,8,0.664,0.100
2026-04-05T04:23:53.269052,1024,1.0,102703,16,19,3.594,10.000
2026-04-05T04:23:53.269052,1024,0.1,18002,14,13,5.774,10.000
2026-04-05T04:23:53.269052,1024,0.3,16690,12,13,1.901,10.000
2026-04-05T04:23:53.269052,1024,3.0,22284,18,18,5.333,3.333
2026-04-05T04:23:53.269052,1024,10.0,86010,22,22,5.903,1.000
2026-04-05T04:23:53.269052,1024,30.0,20088,21,16,2.780,0.333
2026-04-05T04:23:53.269052,1024,100.0,16622,23,17,3.114,0.100
2026-04-05T04:24:23.276413,1528,1.0,102703,25,26,4.266,10.000
2026-04-05T04:24:23.276413,1528,0.1,18002,26,21,0.164,10.000
2026-04-05T04:24:23.276413,1528,0.3,16690,17,19,2.574,10.000
2026-04-05T04:24:23.276413,1528,3.0,22284,31,21,1.369,3.333
2026-04-05T04:24:23.276413,1528,10.0,86010,32,29,5.970,1.000
2026-04-05T04:24:23.276413,1528,30.0,20088,30,22,4.897,0.333
2026-04-05T04:24:23.276413,1528,100.0,16622,33,24,5.634,0.100
2026-04-05T04:24:53.295518,2020,1.0,102703,38,40,5.222,10.000
2026-04-05T04:24:53.295518,2020,0.1,18002,40,34,1.119,10.000
2026-04-05T04:24:53.295518,2020,0.3,16690,26,24,3.530,10.000
2026-04-05T04:24:53.295518,2020,3.0,22284,37,34,1.687,3.333
2026-04-05T04:24:53.295518,2020,10.0,86010,38,38,5.438,1.000
2026-04-05T04:24:53.295518,2020,30.0,20088,46,26,0.531,0.333
2026-04-05T04:24:53.295518,2020,100.0,16622,47,32,1.811,0.100
2026-04-05T04:25:23.327158,2556,1.0,102703,46,47,3.045,10.000
2026-04-05T04:25:23.327158,2556,0.1,18002,48,42,5.226,10.000
2026-04-05T04:25:23.327158,2556,0.3,16690,34,31,1.353,10.000
2026-04-05T04:25:23.327158,2556,3.0,22284,50,45,3.056,3.333
2026-04-05T04:25:23.327158,2556,10.0,86010,48,50,0.822,1.000
2026-04-05T04:25:23.327158,2556,30.0,20088,50,33,3.181,0.333
2026-04-05T04:25:23.327158,2556,100.0,16622,52,41,4.491,0.100
2026-04-05T04:25:53.340362,3080,1.0,102703,55,50,1.151,10.000
2026-04-05T04:25:53.340362,3080,0.1,18002,56,55,3.332,10.000
2026-04-05T04:25:53.340362,3080,0.3,16690,49,39,5.742,10.000
2026-04-05T04:25:53.340362,3080,3.0,22284,60,54,2.425,3.333
2026-04-05T04:25:53.340362,3080,10.0,86010,55,58,1.889,1.000
2026-04-05T04:25:53.340362,3080,30.0,20088,58,43,5.631,0.333
2026-04-05T04:25:53.340362,3080,100.0,16622,57,45,0.828,0.100
2026-04-05T04:26:23.365506,3597,1.0,102703,62,64,2.041,10.000
2026-04-05T04:26:23.365506,3597,0.1,18002,65,66,4.221,10.000
2026-04-05T04:26:23.365506,3597,0.3,16690,58,49,0.348,10.000
2026-04-05T04:26:23.365506,3597,3.0,22284,75,68,0.627,3.333
2026-04-05T04:26:23.365506,3597,10.0,86010,66,70,2.606,1.000
2026-04-05T04:26:23.365506,3597,30.0,20088,69,50,1.681,0.333
2026-04-05T04:26:23.365506,3597,100.0,16622,68,60,3.413,0.100
2026-04-05T04:26:53.372600,4123,1.0,102703,72,72,1.147,10.000
2026-04-05T04:26:53.372600,4123,0.1,18002,74,73,3.327,10.000
2026-04-05T04:26:53.372600,4123,0.3,16690,66,55,5.738,10.000
2026-04-05T04:26:53.372600,4123,3.0,22284,87,75,0.329,3.333
2026-04-05T04:26:53.372600,4123,10.0,86010,74,74,3.773,1.000
2026-04-05T04:26:53.372600,4123,30.0,20088,76,59,4.165,0.333
2026-04-05T04:26:53.372600,4123,100.0,16622,77,66,6.043,0.100
2026-04-05T04:27:23.403417,4643,1.0,102703,82,81,3.536,10.000
2026-04-05T04:27:23.403417,4643,0.1,18002,83,85,5.717,10.000
2026-04-05T04:27:23.403417,4643,0.3,16690,73,63,1.844,10.000
2026-04-05T04:27:23.403417,4643,3.0,22284,99,79,5.314,3.333
2026-04-05T04:27:23.403417,4643,10.0,86010,80,85,4.641,1.000
2026-04-05T04:27:23.403417,4643,30.0,20088,86,65,0.265,0.333
2026-04-05T04:27:23.403417,4643,100.0,16622,86,74,2.360,0.100
2026-04-05T04:27:53.450660,5174,1.0,102703,92,88,5.143,10.000
2026-04-05T04:27:53.450660,5174,0.1,18002,89,95,1.040,10.000
2026-04-05T04:27:53.450660,5174,0.3,16690,85,71,3.450,10.000
2026-04-05T04:27:53.451660,5174,3.0,22284,106,86,5.850,3.333
2026-04-05T04:27:53.451660,5174,10.0,86010,89,93,6.058,1.000
2026-04-05T04:27:53.451660,5174,30.0,20088,93,73,2.832,0.333
2026-04-05T04:27:53.451660,5174,100.0,16622,90,84,5.015,0.100
2026-04-05T04:28:23.493901,5693,1.0,102703,100,98,0.749,10.000
2026-04-05T04:28:23.493901,5693,0.1,18002,100,101,2.929,10.000
2026-04-05T04:28:23.493901,5693,0.3,16690,94,84,5.340,10.000
2026-04-05T04:28:23.493901,5693,3.0,22284,116,94,4.385,3.333
2026-04-05T04:28:23.493901,5693,10.0,86010,97,106,0.592,1.000
2026-04-05T04:28:23.493901,5693,30.0,20088,101,80,5.199,0.333
2026-04-05T04:28:23.493901,5693,100.0,16622,100,90,1.326,0.100
2026-04-05T04:28:53.528730,6204,1.0,102703,110,109,4.921,10.000
2026-04-05T04:28:53.528730,6204,0.1,18002,111,109,0.819,10.000
2026-04-05T04:28:53.528730,6204,0.3,16690,104,93,3.229,10.000
2026-04-05T04:28:53.528730,6204,3.0,22284,127,103,1.587,3.333
2026-04-05T04:28:53.528730,6204,10.0,86010,107,112,1.009,1.000
2026-04-05T04:28:53.528730,6204,30.0,20088,109,94,1.149,0.333
2026-04-05T04:28:53.528730,6204,100.0,16622,111,97,3.881,0.100
2026-04-05T04:29:23.577583,6724,1.0,102703,116,114,1.028,10.000
2026-04-05T04:29:23.577583,6724,0.1,18002,120,117,3.208,10.000
2026-04-05T04:29:23.577583,6724,0.3,16690,115,103,5.618,10.000
2026-04-05T04:29:23.577583,6724,3.0,22284,140,114,0.289,3.333
2026-04-05T04:29:23.577583,6724,10.0,86010,115,121,1.876,1.000
2026-04-05T04:29:23.577583,6724,30.0,20088,119,111,3.532,0.333
2026-04-05T04:29:23.577583,6724,100.0,16622,122,103,0.198,0.100
2026-04-05T04:29:53.614453,7252,1.0,102703,122,120,1.134,10.000
2026-04-05T04:29:53.614453,7252,0.1,18002,128,125,3.314,10.000
2026-04-05T04:29:53.614453,7252,0.3,16690,123,117,5.725,10.000
2026-04-05T04:29:53.614453,7252,3.0,22284,151,122,0.325,3.333
2026-04-05T04:29:53.614453,7252,10.0,86010,124,132,3.144,1.000
2026-04-05T04:29:53.614453,7252,30.0,20088,130,120,6.049,0.333
2026-04-05T04:29:53.614453,7252,100.0,16622,132,107,2.838,0.100
2026-04-05T04:30:23.648033,7772,1.0,102703,132,132,3.523,10.000
2026-04-05T04:30:23.648033,7772,0.1,18002,136,131,5.704,10.000
2026-04-05T04:30:23.649008,7772,0.3,16690,129,123,1.831,10.000
2026-04-05T04:30:23.649008,7772,3.0,22284,157,131,5.310,3.333
2026-04-05T04:30:23.649008,7772,10.0,86010,131,139,4.011,1.000
2026-04-05T04:30:23.649008,7772,30.0,20088,134,130,2.149,0.333
2026-04-05T04:30:23.649008,7772,100.0,16622,142,116,5.438,0.100
2026-04-05T04:30:53.683984,8298,1.0,102703,143,141,2.629,10.000
2026-04-05T04:30:53.683984,8298,0.1,18002,148,139,4.810,10.000
2026-04-05T04:30:53.683984,8298,0.3,16690,133,128,0.937,10.000
2026-04-05T04:30:53.683984,8298,3.0,22284,167,139,5.012,3.333
2026-04-05T04:30:53.683984,8298,10.0,86010,141,149,5.178,1.000
2026-04-05T04:30:53.683984,8298,30.0,20088,148,138,4.633,0.333
2026-04-05T04:30:53.683984,8298,100.0,16622,146,128,1.785,0.100
2026-04-05T04:31:23.722193,8809,1.0,102703,154,147,0.519,10.000
2026-04-05T04:31:23.722193,8809,0.1,18002,160,143,2.699,10.000
2026-04-05T04:31:23.722193,8809,0.3,16690,141,143,5.110,10.000
2026-04-05T04:31:23.722193,8809,3.0,22284,178,148,2.214,3.333
2026-04-05T04:31:23.722193,8809,10.0,86010,150,156,5.596,1.000
2026-04-05T04:31:23.722193,8809,30.0,20088,165,147,0.583,0.333
2026-04-05T04:31:23.722193,8809,100.0,16622,155,136,4.340,0.100
2026-04-05T04:31:53.760221,9338,1.0,102703,160,153,1.125,10.000
2026-04-05T04:31:53.761195,9338,0.1,18002,164,153,3.306,10.000
2026-04-05T04:31:53.761195,9338,0.3,16690,150,147,5.716,10.000
2026-04-05T04:31:53.761195,9338,3.0,22284,190,156,2.416,3.333
2026-04-05T04:31:53.761195,9338,10.0,86010,157,168,0.630,1.000
2026-04-05T04:31:53.761195,9338,30.0,20088,175,153,3.117,0.333
2026-04-05T04:31:53.761195,9338,100.0,16622,167,145,0.702,0.100
2026-04-05T04:32:23.773199,9843,1.0,102703,171,168,2.298,10.000
2026-04-05T04:32:23.773199,9843,0.1,18002,169,167,4.478,10.000
2026-04-05T04:32:23.773199,9843,0.3,16690,157,156,0.605,10.000
2026-04-05T04:32:23.773199,9843,3.0,22284,200,168,4.901,3.333
2026-04-05T04:32:23.773199,9843,10.0,86010,160,177,0.747,1.000
2026-04-05T04:32:23.773199,9843,30.0,20088,179,165,5.250,0.333
2026-04-05T04:32:23.773199,9843,100.0,16622,175,153,3.227,0.100
2026-04-05T04:32:53.808207,10352,1.0,102703,181,175,5.470,10.000
2026-04-05T04:32:53.808207,10352,0.1,18002,177,177,1.368,10.000
2026-04-05T04:32:53.808207,10352,0.3,16690,167,165,3.778,10.000
2026-04-05T04:32:53.808207,10352,3.0,22284,211,179,1.770,3.333
2026-04-05T04:32:53.808207,10352,10.0,86010,166,180,1.064,1.000
2026-04-05T04:32:53.808207,10352,30.0,20088,184,173,1.167,0.333
2026-04-05T04:32:53.808207,10352,100.0,16622,188,165,5.772,0.100
2026-04-05T04:33:23.854230,10868,1.0,102703,185,191,5.860,10.000
2026-04-05T04:33:23.854230,10868,0.1,18002,185,185,1.757,10.000
2026-04-05T04:33:23.854230,10868,0.3,16690,177,177,4.167,10.000
2026-04-05T04:33:23.854230,10868,3.0,22284,222,194,6.089,3.333
2026-04-05T04:33:23.854230,10868,10.0,86010,175,191,1.731,1.000
2026-04-05T04:33:23.854230,10868,30.0,20088,195,182,3.484,0.333
2026-04-05T04:33:23.854230,10868,100.0,16622,202,172,2.069,0.100
2026-04-05T04:33:53.865210,11389,1.0,102703,194,204,2.466,10.000
2026-04-05T04:33:53.865210,11389,0.1,18002,193,192,4.646,10.000
2026-04-05T04:33:53.865210,11389,0.3,16690,184,185,0.773,10.000
2026-04-05T04:33:53.865210,11389,3.0,22284,232,200,4.958,3.333
2026-04-05T04:33:53.865210,11389,10.0,86010,183,196,2.649,1.000
2026-04-05T04:33:53.865210,11389,30.0,20088,203,190,5.884,0.333
2026-04-05T04:33:53.865210,11389,100.0,16622,217,182,4.674,0.100
2026-04-05T04:34:23.890207,11910,1.0,102703,204,214,5.355,10.000
2026-04-05T04:34:23.890207,11910,0.1,18002,205,199,1.253,10.000
2026-04-05T04:34:23.893208,11910,0.3,16690,195,194,3.663,10.000
2026-04-05T04:34:23.896209,11910,3.0,22284,237,219,3.826,3.333
2026-04-05T04:34:23.898208,11910,10.0,86010,191,205,3.566,1.000
2026-04-05T04:34:23.898208,11910,30.0,20088,213,195,2.001,0.333
2026-04-05T04:34:23.898208,11910,100.0,16622,230,189,0.995,0.100
2026-04-05T04:34:53.928218,12423,1.0,102703,212,226,4.245,10.000
2026-04-05T04:34:53.928218,12423,0.1,18002,216,203,0.142,10.000
2026-04-05T04:34:53.928218,12423,0.3,16690,199,204,2.552,10.000
2026-04-05T04:34:53.928218,12423,3.0,22284,245,230,1.362,3.333
2026-04-05T04:34:53.928218,12423,10.0,86010,201,215,4.083,1.000
2026-04-05T04:34:53.928218,12423,30.0,20088,224,204,4.268,0.333
2026-04-05T04:34:53.928218,12423,100.0,16622,242,198,3.560,0.100
2026-04-05T04:35:23.987213,12937,1.0,102703,219,237,3.634,10.000
2026-04-05T04:35:23.987213,12937,0.1,18002,228,215,5.815,10.000
2026-04-05T04:35:23.987213,12937,0.3,16690,216,212,1.942,10.000
2026-04-05T04:35:23.987213,12937,3.0,22284,253,235,5.347,3.333
2026-04-05T04:35:23.987213,12937,10.0,86010,211,222,4.650,1.000
2026-04-05T04:35:23.987213,12937,30.0,20088,230,217,0.268,0.333
2026-04-05T04:35:23.987213,12937,100.0,16622,248,209,6.130,0.100
2026-04-05T04:35:54.017220,13470,1.0,102703,226,245,6.240,10.000
